Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
Duke City Auto LLC,A,50+,100,0-5,Single,AutoManager (DeskManager),
Duke City Harley-Davidson,,,,,,,
Duke Motor Co.,,,,,,,
Dukes Auto Sales Llc,C,16-30,30,0-5,Single,DealerCenter (Westlake),
Dukes Boys Auto Sales,,,,,,,
Dukes Inc,D,15-Jan,30,0-5,Single,None,
Dulles Auto Group,,,,,,,
Dulles Auto Sales Inc,C,16-30,76,,,,
Dulles Chrysler Dodge Jeep Ram,no rating,,743,,,,
Dulles Kia,C,,286,,,,
Dulles Motorcars,,,,,,,
Duluth Auto Exchange,B,31-49,100,0-5,Single,Frazer,
Duluth Chrysler Jeep Dodge And Ram,no rating,,435,,,,
Duluth Dodge,No rating,,435,,,,
Duluth Fine Cars,D,15-Jan,,0-5,Single,,
Duluth Motor Company,,,,,,,
Duluth Motorsports Inc,C,16-30,55,0-5,Single,,
Dumarks Auto Sales,B,31-49,50,0-5,Single,Frazer,
Dumas Sapp & Son,D,15-Jan,33,0-5,Single,,
Duminuco Automoible,no rating,,,,,,
Dumont Chrysler Jeep,no rating,,,,,,
Dunahoo Auto Sales,no rating,,,,,,
Dunaway's Auto Sales,D,15-Jan,8,0-5,Single,None,
Dunbar's Dependable Auto,,,,,,,
"Dunbar Euro-Sports, Inc.",,,,,,,
Duncan's Auto Sales,D,15-Jan,10,0-5,Single,None,
Duncan's Auto Sales Inc Lot #2,D,15-Jan,60,0-5,Single,None,
Duncan's Auto Services,D,15-Jan,15,0-5,Multi Point,None,
Duncan & Sons,no rating,,20,,,,
Duncan Acura,B,0-100,110,6/10/2015 0:00,Multi,ADP,
Duncan Auto Sales,no rating,,,,,,
Duncan Auto Sales,B,,100,,,,
Duncan Car Mart Ltd,no rating,,,,,,
Duncan Cars,no rating,,,,,,
Duncan Chevrolet Co Inc,B,0-100,79,,Single,ADP,
Duncan Chrysler Jeep Dodge,C,0-100,183,6/10/2015 0:00,Multi,Delete,
Duncan Deals,,,,,,,
Duncan Ford Lincoln,no rating,101-175,138,16-20,Single,Reynolds,
Duncan Ford Lincoln Mazda,B,,279,,,ADP,ADP
Duncan Hyundai,B,101-175,171,6/10/2015 0:00,Multi,Delete,
Duncan Hyundai,B,0-100,113,10-Jun,,Reynolds,
Duncan Mazda Blacksburg,B,101-175,222,,Multi,ADP,
Duncan Motors,D,15-Jan,20,0-5,Single,None,
Duncan Motors,no rating,,,,,,
Duncan Motors Of Pflugerville,,,,,,,
Duncans Hokie Honda - Christiansburg,A,175-300,182,,Multi,ADP,
Duncan Suzuki,B,31-49,81,,,,
Duncan Tire And Auto,D,15-Jan,7,0-5,Single,Wayne Reaves,
Duncanville Automotive Llc,no rating,,652,,Multi,,
"Duncanville Chevrolet, Llc",A,300+,677,,Multi,Reynolds,
Dundalk Motors,D,15-Jan,28,,,,
Dundas Auto Sales,no rating,,,,,,
Dundas Cars Sales & Leasing,no rating,,,,,,
Dundas Motor Products,no rating,,,,,,
Dune Autos,D,,10,0-5,Single,Frazer,
Dunham Motor Sales Inc,no rating,,52,,,AutoSoft,
Dunk-Lee Auto,C,16-30,35,0-5,Single,Other,
Dunlap Auto Plus,no rating,,,,,,
Dunlap-Johnson Chevrolet Co Inc,A,,72,,,,
Dunlap Motors,,,,,,,
Dunlap Motors Inc,C,0-100,130,,Single,ADP,
Dunlap RV - Bowling Green,,,,,,,
Dunlap RV - Dunlap,,,,,,,
Dunlap RV - Lebanon,,,,,,,
Dunlap RV - Louisville,,,,,,,
Dunlap RV - Ringgold,,,,,,,
Dunlop Ford Sales Ltd,no rating,,88,,,,
Dunlop Western Star New and Used Heavy Trucks,,,,,,,
Dunn's Wholesale Auto Sales,B,31-49,50,10-Jun,Single,Frazer,
Dunn - Benson Ford,A,101-175,243,11/15/2015 0:00,Single,ADP,
Dunn Brothers Premium Auto Corp.,B,31-49,,10-Jun,Single,Frazer,
Dunn Chevrolet Buick,A,,546,,,,
Dunn Country Chevrolet Buick GMC,A,,273,,,,
Dunn Country Chrysler Jeep Dodge Ram,no rating,,4561,,,,
Dunn Deal,no rating,,,,,,
Dunn Deals Auto,no rating,,,,,,
Dunn Family Auto Centre,,,,,,,
Dunn Ford Company,B,0-100,211,6/10/2015 0:00,Multi,ADP,
Dunning Motor Sales,no rating,,60,,,DealerTrack(Arkona),DealerTrack(Arkona)
Dunning Subaru-Ann Arbor,A,0-100,151,6/10/2015 0:00,Multi,Reynolds,
Dunning Toyota Ann Arbor,A,,300,,,Other,DealerCentric
Dunn Motor Co,,,,,,,
Dunn Motors,C,16-30,40,0-5,Single,Frazer,
Dunn Right Auto and Truck Sales,D,15-Jan,45,0-5,Single,DealerClick,
Dunn-Rite Auto Sales Inc.,D,15-Jan,22,,,Frazer,
Dunphy Ford,B,0-100,223,6/10/2015 0:00,Single,Reynolds,
Dunton Motors,D,15-Jan,30,0-5,Single,Other,AFF
Dupage Dodge Chrysler Jeep,no rating,175-300,775,21-30,,,
Duplessis Buick GMC,B,0-100,197,,Single,AutoMate,
Dupont & Dupont Chrysler Jeep Dodge,no rating,,0,,,,
Dupont & Dupont Ford,D,0-100,,10-Jun,,Serti,Serti
Dupont & Dupont Honda,no rating,,,,,,
Dupont Auto Enr Svc,no rating,,,,,,
DUPONT AUTOMOBILE LTEE,no rating,,,,,,
Dupont Ford,no rating,,0,,,,
Dupree Automotive,C,15-Jan,10,0-5,Single,Frazer,
Dupree Motor Co LLC,D,15-Jan,15,0-5,Single,Wayne Reaves,
Dupuis Automotive,no rating,,,,,,
Dupuis Ford Lincoln,no rating,,,,,,
Duracel Auto Sales,D,15-Jan,50,0-5,Multi Point,Other,DealerTrader
Durand Chevrolet Inc,C,,249,,,,
Durand Ford,no rating,,129,,,,
Durango Auto Center LLC,D,15-Jan,10,0-5,Single,None,
Durango Harley-Davidson,,,,,,,
Durango Motor Company,A,,495,,,ADP,ADP
Durango Toyota,B,175-300,268,,Multi,,
Durango Value Autos,,,,,,,
Durani Auto,B,16-30,100,0-5,Single,Adams,
Duran Motorsports,no rating,,,,,FEX (FinanceExpress),
Durant Car Rental & Sales,,,,,,,
Durant Car Rental & Sales,,,,,,,
Durant Pre Owned,No rating,0-100,1758,,,,
Durant Toyota,B,300+,1758,10-Jun,Multi Point,,
Durbin's Auto Sales,D,15-Jan,25,0-5,Single,None,
Durbin Motors,C,16-30,30,0-5,Single,Frazer,
Durelle Racing,,,,,,,
Durfee St. Auto Sales Inc.,C,16-30,30,0-5,Single,None,DOS system
"Durham's Auto Mart, Inc.",A,31-49,120,0-5,Multi Point,FEX (FinanceExpress),
Durham Auto Center,,,,,,,
Durham Auto Group,no rating,,,,,,
Durham Automotive,no rating,,,,,,
Durham Auto Sales Ltd,no rating,,,,,,
Durham Hill Auto,C,16-30,50,0-5,Single,Other,Dealerdynamics
Durham Motors LP/AB Durham Motors GP Inc,no rating,,397,,,ADP,
Durnin Motors,no rating,,,,,,
Durocher Auto Sales,B,0-100,261,6/10/2015 0:00,Multi,ADP,
Durrett Motor Company Inc.,no rating,50+,,,,AutoStar,AutoStar
Durry's Auto Sales,D,15-Jan,5,0-5,Single,,
Durst Motor Co.,B,31-49,100,0-5,Single,None,
Durto Superstore,,,,,,,
Duruxx,,,,,,,
Durvaish Auto LLC,D,15-Jan,20,0-5,Single,None,
Dushane Sales,D,15-Jan,20,0-5,Single,None,
Dussault Auto Sales,no rating,,,,,,
Dustin's Auto Sales,,,,,,,
Dustin's Auto Sales,no rating,,,,,,
Dusty Ballard,B,0-100,137,6/10/2015 0:00,Single,ADP,
Dusty Car Buyerz,C,16-30,50,0-5,Single,AutoManager (DeskManager),
Dutch's Used Cars,A,15-Jan,30,0-5,Single,DealerTrack,
Dutch & Dillon Car Sales,no rating,,,,,,
Dutch Chevrolet Buick,no rating,,136,,,,
Dutchess Chrysler Jeep Dodge,B,101-175,322,11/15/2015 0:00,Multi,AutoMate,
Dutchess Kia,,,,,,,
Dutchess Mitsubishi-Poughkeepsie,B,101-175,379,,Single,AutoMate,
Dutchess Recreational Vehicles,no rating,,,,,,
Dutchmen Manufacturing Inc,,,,,,,
Dutch Miller Hyundai Chevrolet,no rating,,307,,,,
Dutch Miller Kia,A,101-175,374,6/10/2015 0:00,Multi,DealerTrack,
Dutch Miller Kia-Charlotte,No rating,,610,,,,
Dutch Miller Kia Dodge Ram,A,101-175,376,,Multi,AutoMate,
Dutchs Chevy and Ford,No rating,,428,,,DealerTrack(Arkona),DealerTrack(Arkona)
Duteau Chevrolet Subaru,B,,357,,,,
Dutro Ford Lincoln Inc,B,101-175,29,11/15/2015 0:00,Multi,Reynolds,
Dutro Nissan,A,101-175,798,6/10/2015 0:00,Multi,Reynolds,
Dutro Outlet,,,,,,,
Dutton Cadillac GMC,A,,,,,,
Duttons Automotive,A,,,,,,
Duval Acura,B,101-175,131,11/15/2015 0:00,Multi,DealerTrack,
Duvalauto.Com,no rating,,,,,,
Duval Auto Sales,D,15-Jan,30,0-5,Single,None,
Duval Auto Svc A La Clientele,no rating,,,,,,
Duval Ford,A,,577,,Multi,,
Duval Honda,A,175-300,472,,Multi,Delete,
Duvall Auto,A,,,,,AutoStar,
Duvall Chevrolet Inc,no rating,,439,15-Nov,Multi Point,,
Duvall Chrysler Dodge Jeep Inc,no rating,,346,,Multi Point,,
Duvall Ford Company,no rating,0-100,61,,Multi Point,,
Duval Mazda,B,101-175,135,,Multi,DealerTrack,
Duval Mazda,C,0-100,220,0-5,Multi Point,Serti,
Duval Mercedes-Benz,no rating,,,,,,
Duval Motors,D,15-Jan,20,0-5,Single,None,
Duval Toyota,no rating,,,,,,
Duval Volkswagen,no rating,,,,,,
D V Auto Inc,no rating,,,,,,
DV Auto Sales,D,15-Jan,,0-5,Single,Wayne Reaves,
DV Motors,C,16-30,45,0-5,Single,None,
Dvorak Motors,A,101-175,175,,,,
Dwain Taylor Chevrolet-Buick-Gmc-Cadillac,no rating,,235,,Single,,
Dwain Taylor Used Cars,,,,,,,
Dwayne's Auto Sales,D,15-Jan,6,0-5,Single,None,
Dwayne Blackmon Chevy,No rating,101-175,165,11/15/2015 0:00,Multi,Prism(ACS),
Dwayne Doza Auto Body & Auto,,,,,,,
Dwayne Lane's Arlington Chevrolet,No rating,,186,,,,
Dwayne Lane's Chrysler Dodge Jeep,B,175-300,424,11/15/2015 0:00,Multi,,
Dwayne Lane's North Cascade Ford,No rating,,226,,,,
Dwayne Lane's Skagit Ford,A,0-100,299,6/10/2015 0:00,Multi,Reynolds,
Dwayne Lane's Skagit Mazda,A,,204,,,,
Dwayne Lane's Skagit Subaru,,,,,,,
Dwayne Tambling Auto Brokers LLC,no rating,,,,,,
Dwight's Cars,,,,,,,
"Dwight Phillips Auto Sales, Inc.",B,31-49,55,0-5,Single,Comsoft (Money Maker),
DW Motor Sales,,,,,,,
Dwn N Out,D,15-Jan,30,0-5,Single,AutoManager (DeskManager),
Dwyer Hill Snowbird Park,no rating,,,,,,
"DX Motoring, LLC",no rating,,,,,,
Dyala Auto Brokers,D,15-Jan,5,0-5,Single,,
DyCam Motors,D,15-Jan,7,0-5,Single,None,
Dyck's Auto Sales,D,15-Jan,20,0-5,Single,None,
Dye Enterprises Inc.,A,31-49,150,15-Nov,Single,Frazer,
"Dyer, Inc.",B,,384,,,,
Dyer & Dyer Volvo Chamblee,B,101-175,443,6/10/2015 0:00,Multi,ADP,
Dyer Auto Sales,no rating,,,,,,
Dyer Chevrolet,no rating,0-100,486,15-Nov,Multi Point,ADP,
Dyer Chevrolet Fort Pierce,no rating,0-100,358,10-Jun,Multi,ADP,
Dyer Mazda,B,0-100,135,15-Nov,Multi,ADP,
Dymond Motors LLC,,,,,,,
Dynamic Auto,,,,,,,
Dynamic Auto Multi Services LLC,C,15-Jan,30,0-5,Single,Other,Gold Star
Dynamic Auto Sales,B,31-49,30,0-5,Multi Point,Frazer,
Dynamic Auto Sales - Lincoln,D,15-Jan,,0-5,Single,None,
Dynamic Cars & Trucks,D,15-Jan,6,0-5,Single,None,Dealercarsearch
Dynamic Cars Inc,C,16-30,50,,,,
Dynamic Imports,B,,100,,,FEX (FinanceExpress),
"Dynamic Motorcars, Inc",,,,,,,
Dynamic Motor Co,D,,20,0-5,Single,AutoAction,
Dynamic Motors,D,15-Jan,50,0-5,Single,None,
Dynamic Motors/Motion Ent,no rating,,,,,,
Dynamic Motors- I-35,A,50+,100,15-Nov,Multi,FEX (FinanceExpress),
Dynamic Motors Inc.,A,31-49,,,,FEX( FinanceExpress),
Dynamic Rides,no rating,,10,,,,
Dynamic Wholesale Inc,A,50+,100,0-5,Single,Frazer,
Dynamite Auto,no rating,,,,,,
Dynamite Auto Sales,A,15-Jan,50,0-5,Single,AutoStar,
Dynamite Deals - Butler Court,C,16-30,50,0-5,Multi Point,Frazer,
Dynamite Deals - High Ridge,B,31-49,100,0-5,Multi Point,Frazer,
Dynastie Automobile Ltee,no rating,,,,,,
Dynasty Auto Sales,D,15-Jan,20,,,,
Dynasty Autoselection,no rating,,,,,,
Dynasty Car Sales,no rating,,,,,,
Dynasty Customs Of Tampa | Custom Wheels & Tires,D,15-Jan,3,0-5,Single,None,
Dynasty Motors,B,,100,,,Frazer,
Dynasty Motors,D,15-Jan,12,0-5,Single,None,
Dynasty Performance Inc,no rating,,,,,,
Dynotronics,,,,,,,
Dyson Motors,no rating,,,,,,
DZ Motors,A,50+,300,10-Jun,Single,Frazer,
E.B's Auto Sales Llc,D,15-Jan,15,0-5,Single,None,
"E. G. Automotive, Inc",D,15-Jan,25,0-5,Single,None,
E. Leasing & Sales,no rating,,,,,,
E's Automotive LLC,C,15-Jan,10,0-5,Single,Frazer,
E & A Motors,,,,,,,
E&A Motors INC,,,,,,,
E & B Auto Sales,C,16-30,35,0-5,Single,Frazer,
E & B Cars,,,,,,,
E & B Used Cars,no rating,,,,,,
E & C AUTO SALES,D,,40,0-5,Single,None,
E & E Auto Sales - Clarksville,C,16-30,40,0-5,Multi Point,Other,DealerCar
E & E Auto Sales - Ozark,B,31-49,70,0-5,Multi Point,,DealerCar
E & E Motors - Austin,B,,100,,,,Cars Plus
E & E Motors Llc,no rating,,,,,,
E & G Auto Plus Inc.,C,16-30,20,10-Jun,Single,Other,Auto Dealer Pro
E & H Automotive,D,15-Jan,20,0-5,Single,None,
E & H Auto Repair Inc.,C,16-30,10,10-Jun,Single,Frazer,
E & I Auto Sales,no rating,,,,,,
E & I Auto Sales,no rating,,,,,,
E & J Auto Sales,no rating,,,,,,
E & J Auto Sales,D,15-Jan,5,0-5,Single,None,
E & J Motors,B,,100,16-20,Single,,
E & L Auto Sales,no rating,,,,,,
E & L Motors Inc,no rating,,100,,,,
E&M Auto Sales,C,16-30,40,0-5,Single,None,
E & M Auto Sales Inc.,B,31-49,,0-5,Single,None,
E & M Auto Sales - Locust Grove,D,15-Jan,50,,,,
E & M Auto Sales - Martinsburg,B,31-49,50,0-5,Single,Frazer,
E & N Budget Corner,B,31-49,100,0-5,Single,Frazer,
E & R Auto Sales - Nashville 1,C,16-30,65,0-5,Multi Point,Wayne Reaves,
E & R Auto Sales - Nashville 2,C,16-30,50,0-5,Multi Point,Wayne Reaves,
E & S Auto Sales,D,15-Jan,10,0-5,Single,None,
E & S Motors LLC,C,16-30,25,0-5,Single,Frazer,
E & T Brokerage Inc.,D,15-Jan,10,0-5,Single,None,
E&V Auto Sales,,,,,,,
E & W Auto Sales Inc,no rating,,,,,,
E & W Cars LLC,no rating,,,,,,
E-1 Auto Exchange,B,31-49,50,0-5,Multi,,
E30 Auto Sales,D,15-Jan,10,0-5,Single,None,
"E805 Auto Sales, LLC",,15-Jan,,,,,
EA & V Auto LLC,D,15-Jan,6,0-5,Single,None,
Eads Auto Sales,B,,100,,,,
Eads Auto Sales LLC,D,15-Jan,20,0-5,Single,None,
Eagers Mazda,A,,,,,,
Eagle's Nest Harley-Davidson,,,,,,,
Eagle Auto,D,15-Jan,20,0-5,Single,Frazer,
"Eagle Auto Center, Inc.",no rating,,50,,,FEX (FinanceExpress),
Eagle Auto Consignment,D,15-Jan,10,0-5,Single,None,
Eagle Auto Group,B,31-49,50,0-5,Single,AutoManager (DeskManager),
Eagle Auto Mart,D,15-Jan,17,0-5,Single,None,
Eagle Automotive LLC,,,,,,,
Eagle Automotives,C,16-30,50,,,,
Eagle Auto Parts,no rating,,,,,,
Eagle Auto Sales,no rating,,,,,,
Eagle Auto Sales,,,,,,,
Eagle Auto Sales,no rating,,,,,,
Eagle Auto Sales - Denison,A,31-49,50,0-5,Single,AutoStar,
Eagle Auto Sales - Lindale,no rating,,,,,,
Eagle Buick-Gmc Inc,A,175-300,265,11/15/2015 0:00,Single,ADP,
Eagle Car and Truck Inc.,D,15-Jan,15,0-5,Single,Wayne Reaves,
Eagle Care Autos,no rating,,50,,,,
Eagle Cars,D,15-Jan,15,0-5,Single,None,
Eagle Chevrolet,,,,,,,
Eagle Chevrolet Buick,A,,186,,,,
Eagle Country Ford,A,0-100,97,,Single,AutoSoft,
Eagle Creek Motor Products Ltd,no rating,,,,,,
Eagle Creek Motor Products Ltd,,,,,,,
Eagle Eye Auto Sales LLC,B,31-49,100,0-5,Single,Frazer,
Eagle Imports LLC,D,15-Jan,20,0-5,Single,None,
"Eagle International Auto Sales, LLC",D,15-Jan,,0-5,Single,None,
Eagle Kia,,,,,,,
Eagle Lake Cars,D,15-Jan,20,0-5,Single,Other,Cars4Sale.com
Eagle Mazda,no rating,,156,,,,
Eagle Motor Co. Inc.,D,15-Jan,20,0-5,Single,DealerSolutions (KGI),
Eagle Motors,D,15-Jan,30,0-5,Multi Point,Frazer,
Eagle Motors of Hamilton Inc,,,,,,,
EAGLE NORTH HOLDINGS INC O/A CAMBRIDGE TOYOTA,no rating,,,,,Reynolds,Reynolds
Eagle One Auto Sales,C,16-30,40,0-5,Single,None,
Eagle Pass Auto Inc.,,,,,,,
Eagle Pass Auto Sales,D,15-Jan,5,0-5,Single,Frazer,
Eagle Ridge CBG,no rating,,,,,Quorum,Quorum
Eagle River Chrysler,,0-100,,0-5,Single,PBS,
Eagle River Ford,B,0-100,118,,Single,ADP,
Eagle Roadster,D,15-Jan,2,0-5,Single,None,
Eagle Rock Auto Sales,D,15-Jan,35,0-5,Single,Frazer,
Eagles Auto Sales,no rating,,,,,,
Eagleson Automotive Center Inc,C,0-100,115,,Single,Adams,
Eagle Truck & Auto,C,16-30,45,0-5,Single,None,
Eagle Truck & Auto - El Dorado,B,31-49,50,0-5,Single,AutoManager (DeskManager),
Eagle Valley Motors,B,31-49,75,0-5,Multi Point,AutoSoft,
Eagle Volvo,,,,,,,
Eagle Wing Motors,no rating,,,,,,
Eagle?s Landing Auto Sales,D,15-Jan,21,0-5,Single,,
Eakens Ron Used Cars,D,15-Jan,20,0-5,Single,None,
Eakin Road Auto Sales,B,31-49,,0-5,Single,Frazer,
Eam Car Collection,,,,,,FEX (FinanceExpress),
EA Motorsports,D,15-Jan,30,0-5,Single,Frazer,
E A Motorsports,B,,100,,,,
E and B Cars Inc.,,,,,,,
E And P Auto Sales,D,15-Jan,20,0-5,Single,None,
Eanes & Wyatt Auto Sales Inc.,D,15-Jan,44,,,,
Ean Holdings,D,15-Jan,45,0-5,Single,None,
Earl's Auto Sales,no rating,,,,,,
Earl's Auto Sales,D,15-Jan,30,0-5,Single,Frazer,
Earl's Used Cars,,,,,,,
Earl Baker Motor Co.,D,15-Jan,15,0-5,Single,Frazer,
Earl Duff Subaru,No rating,,47,,,,
Earl Floyd Ford,A,,154,,,,
Earl Hyles Auto Sales,no rating,15-Jan,,,,,
Earl Ireland Auto Sales,no rating,,,,,,
Earl Lee Auto Sales Llc,B,,100,,,,
Earls Credit Auto Sales,A,15-Jan,20,10-Jun,Single,AutoStar,
Earl Stewart Toyota of North Palm Beach,no rating,175-300,428,21-30,Single,DealerTrack,
Earls Used Cars,D,15-Jan,10,0-5,Single,None,
Earl Tindol Ford Inc,A,175-300,272,,Single,Reynolds,
Earlton Camping,no rating,,,,,,
Earl Wood Used Cars,no rating,,,,,,
Earnest Auto Sales,,,,,,,
"Earnhardt Bell Road, Inc. dba Earnhardt Kia",A,101-175,395,11/15/2015 0:00,Multi,ADP,
Earnhardt Buick GMC,no rating,,,,,ADP,
Earnhardt Cadillac,no rating,,,,,ADP,ADP
"Earnhardt Chandler Cadillac, Inc.",no rating,,326,,,ADP,ADP
Earnhardt Chevrolet,A,175-300,638,,Single,Reynolds,
Earnhardt Chrysler Dodge Jeep,C,,1239,,,,
Earnhardt Ford,no rating,,987,,,ADP,
Earnhardt Honda (Avondale),no rating,175-300,260,21-30,Single,ADP,
Earnhardt Hyundai Avondale,A,101-175,359,11/15/2015 0:00,Multi,ADP,
Earnhardt Hyundai of North Scottsdale,A,175-300,472,,Multi,ADP,
Earnhardt Lexus,C,,228,,,ADP,
Earnhardt Maserati,no rating,,26,,,,
Earnhardt Nissan,B,175-300,533,,Multi,,
"Earnhardt NS M, Inc. dba Earnhardt Mazda",no rating,175-300,190,16-20,Multi Point,ADP,ADP
Earnhardt Toyota,B,300+,682,,Multi,ADP,ADP
EarnhartBuilt,,,,,,,
Earth Collision Center,,,,,,,
EarthCruiser Expedition Vehicles,,,,,,,
Earth Motorcars,no rating,,,,,,
Earthroamer,D,15-Jan,10,21-30,Single,None,
Earthycars.Com,C,16-30,40,0-5,Single,Other,Dealer.com
Easley Mitsubishi,B,,100,,,,
East & West Coast Auto,,,,,,,
"East 160 Auto Sales, Llc",D,15-Jan,15,0-5,Single,None,
East 30 Motor Co.,D,15-Jan,35,0-5,Single,,
East 7Th Auto,no rating,,,,,,
East Alabama Supercenter Llc,C,16-30,50,0-5,Single,Wayne Reaves,
East Barre Auto Sales,C,16-30,75,0-5,Single,None,
East Bay Auto Brokers,A,50+,20,0-5,Single,FEX (FinanceExpress),
East Bay BMW,no rating,175-300,778,16-20,Multi Point,Reynolds,
East Bay Mini,B,0-100,235,10-Jun,Multi Point,Reynolds,
Eastbay Motorcars,A,,,,,DealerTrack(Arkona),DealerTrack(Arkona)
East Bay Muscle Cars,no rating,,,,,,
East Beach Auto Sales,no rating,,,,,FEX (FinanceExpress),
East Carolina Auto Exchange,B,31-49,90,0-5,Multi Point,Other,Manheim Tracker
East Carolina Motor Co,D,15-Jan,15,0-5,Single,None,
East Central Auto Sales,,,,,,,
East Charlotte Nissan,B,101-175,1747,11/15/2015 0:00,Multi,Reynolds,
East Chester Auto Sales,D,15-Jan,25,0-5,Single,Frazer,
Eastchester Chrysler Jeep Dodge,no rating,,662,,,,
Eastchester Motor Cars,A,16-30,200,10-Jun,Single,Other,AutoFunds
East Coast Auto Brokers LLC,D,15-Jan,20,0-5,Single,Frazer,
East Coast Auto Group,C,16-30,40,0-5,Single,Frazer,
East Coast Automall,C,,,,,,
East Coast Automotive,no rating,,,,,FEX (FinanceExpress),
East Coast Auto Sales,,,,,,,
East Coast Auto Sales Inc,,,,,,,
East Coast Auto Sales LLC,A,,150,,,,
East Coast Auto Source,A,50+,1062,,,,
East Coast Auto Trader,,,,,,,
"East Coast Classic Cars,LLC",B,15-Jan,120,0-5,Single,None,
East Coast Customs LLC,D,15-Jan,15,0-5,Single,Wayne Reaves,
East Coast Exotics,D,15-Jan,30,,,,
East Coast Honda,C,,618,,,Reynolds,Reynolds
East Coast International Trucks Inc,,,,,,,
East Coast International Trucks Inc.,,,,,,,
East Coast Motors - Binghamton,C,16-30,40,0-5,Single,Other,DealerCarSEarch
East Coast Motors LLC,no rating,,,,,,
East Coast Motors LLC,D,15-Jan,33,,,,
East Coast Motorsports,B,16-30,40,0-5,Single,Frazer,
East Coast Toyota,B,,707,,,,
East Coast VW,no rating,,309,,,Reynolds,Reynolds
East Coast Wheels Ltd,no rating,,,,,,
East County Motors,D,15-Jan,3,0-5,Single,DealerClick,
East County PreOwned,no rating,,,,,Other,Other
East-Court Ford Lincoln Sales,no rating,175-300,660,16-20,Multi Point,Reynolds,
East Creek Motors,,,,,,,
East Dallas Diesel,A,,25,0-5,Single,DealerTrack,
East Dublin Auto Sales LLC,D,15-Jan,,0-5,Single,Other,F&I
East End Auto,no rating,,,,,,
East End Auto,,,,,,,
East End Auto of Paris,,,,,,,
East End Auto Sales,D,15-Jan,30,0-5,Single,LotWizard,
East End Auto Sales,no rating,,,,,,
East End Auto Sales - Ashland,C,16-30,70,0-5,Multi,Comsoft (Money Maker),Compass
East End Auto Sales Inc,no rating,,,,,,
East End Auto Sales Inc.,A,50+,300,15-Nov,Multi,Comsoft (Money Maker),Compass
East End Auto Sales - Methuen,no rating,,,,,,
Eastep's Wheels,D,15-Jan,20,0-5,Single,Frazer,
Eastep Auto Sales,D,15-Jan,69,0-5,Single,Other,Century
Eastern Auto,C,16-30,35,0-5,Single,Frazer,
Eastern Carolina Nissan,B,0-100,198,6/10/2015 0:00,Single,DealerTrack,
Eastern Corvettes,,,,,,,
Eastern Eagle Auto Sales,D,15-Jan,25,0-5,Multi Point,Frazer,
Eastern Fleet Auto Sales,C,16-30,40,0-5,Single,None,
Eastern Harley-Davidson,,,,,,,
Eastern Hyundai,no rating,,,,,,
Eastern Jackson County Pawn and Auto Sales,no rating,,,,,,
Eastern Motor Cars,A,50+,,0-5,Single,Frazer,
Eastern Motors,no rating,,,,,,
Easterns Automotive Group - Hyattsville,A,50+,500,16-20,Multi,Reynolds,
Easterns Automotive Group - Laurel,A,50+,500,16-20,Multi,Reynolds,
Easterns Automotive Group - Rosedale,A,50+,500,16-20,Multi,Reynolds,
Easterns Automotive Group - Temple Hills,A,50+,500,16-20,Multi,Reynolds,
Eastern Shore Auto Brokers,C,16-30,30,0-5,Single,Frazer,
Eastern Shore Hyundai,no rating,,356,,,,
Eastern Shore Motors,A,50+,150,,Multi Point,,
Eastern Shore Scion,,,,,,,
Eastern Shore Toyota,,,,,,,
Eastern Wrecker Sales Inc.,B,31-49,,15-Nov,Single,None,
Easters Coach Sale,,,,,,,
Easters Coach Sale,,,,,,,
East Fayetteville Auto Sales,B,,110,0-5,Single,Other,
Eastgate Chrysler Jeep Dodge Ram,no rating,0-100,342,10-Jun,,ADP,
Eastgate Ford Sales & Serv 82,no rating,,,,,,
Eastgate Motorcars Inc.,,,50,,,,
Eastgate Truck Centre,,,,,,,
East Glen Auto Sales,no rating,,,,,,
East Granby Motors,no rating,,23,0-5,,,
East Highway 83 Auto Mart,D,15-Jan,30,0-5,Single,DealerCenter (Westlake),
East Hills Chevrolet of Douglaston,A,,509,,,,
East Hills Chevrolet of Roslyn,No rating,,,,,,
East Hills Chry/Plym,C,,836,,,,
East Hills Subaru,B,0-100,138,6/10/2015 0:00,Multi,DealerTrack,
Easthill Volkswagen,no rating,,,,,,
East Idaho Car Sales,no rating,,,,,,
East Imports Llc,A,101-175,263,11/15/2015 0:00,Multi,Reynolds,
East Imports Llc,B,0-100,262,,Multi,Reynolds,
East Jackson Auto Sales,D,15-Jan,25,0-5,Single,,
East Kentucky Auto World LLC - Harold,C,16-30,20,0-5,Multi Point,Other,
East Kentucky Auto World LLC - Pikeville,D,15-Jan,20,0-5,Multi Point,Other,
Eastlake Auto Brokers,A,50+,150,10-Jun,Single,Other,
East Limestone Autoplex Inc,C,16-30,60,0-5,Single,Frazer,
East Madison Toyota,C,,452,,Multi Point,Reynolds,Reynolds
East Main Auto Sales - Richmond,B,31-49,75,0-5,Single,Frazer,
East Main Auto Sales - Sylva,C,16-30,40,0-5,Single,,
East Main Car Company,no rating,,,,,,
East Main Financial LLC,,,,,,,
East Main Motors,B,31-49,,0-5,Single,None,
East Main Rides LLC,B,31-49,50,0-5,Single,Frazer,
